"","m_name","m_director","m_actor","m_year","m_country","m_type","m_score","m_commit_count","m_detail_url"
"102","7号房的礼物","导演: 李焕庆 Hwan-kyeong Lee","主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...","2013","韩国","剧情 喜剧 家庭","8.9","478092","https://movie.douban.com/subject/10777687/"
"103","入殓师","导演: 泷田洋二郎 Yôjirô Takita","主演: 本木雅弘 Masahiro Motoki / ...","2008","日本","剧情","8.9","569599","https://movie.douban.com/subject/2149806/"
"104","幽灵公主","导演: 宫崎骏 Hayao Miyazaki","主演: 松田洋治 Yôji Matsuda / 石田百合...","1997","日本","动画 奇幻 冒险","8.9","463451","https://movie.douban.com/subject/1297359/"
"105","第六感","导演: M·奈特·沙马兰 M. Night Shyamalan","主演: 布鲁斯·威利斯 Bruce Wi...","1999","美国","剧情 悬疑 惊悚","8.9","481163","https://movie.douban.com/subject/1297630/"
"106","重庆森林","导演: 王家卫 Kar Wai Wong","主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...","1994","中国香港","剧情 爱情","8.8","694011","https://movie.douban.com/subject/1291999/"
"107","阳光灿烂的日子","导演: 姜文 Wen Jiang","主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao","1994","中国大陆 中国香港","剧情 爱情","8.8","539291","https://movie.douban.com/subject/1291875/"
"108","小森林 夏秋篇","导演: 森淳一 Junichi Mori","主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...","2014","日本","剧情","9.0","370298","https://movie.douban.com/subject/25814705/"
"109","一一","导演: 杨德昌 Edward Yang","主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...","2000","中国台湾 日本","剧情 爱情 家庭","9.1","314853","https://movie.douban.com/subject/1292434/"
"110","功夫","导演: 周星驰 Stephen Chow","主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...","2004","中国大陆 中国香港","动作 喜剧 犯罪 奇幻","8.7","917536","https://movie.douban.com/subject/1291543/"
"111","爱在黎明破晓前","导演: 理查德·林克莱特 Richard Linklater","主演: 伊桑·霍克 Ethan Hawke ...","1995","美国 奥地利 瑞士","剧情 爱情","8.8","560571","https://movie.douban.com/subject/1296339/"
"112","唐伯虎点秋香","导演: 李力持 Lik-Chi Lee","主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...","1993","中国香港","喜剧 爱情 古装","8.7","924485","https://movie.douban.com/subject/1306249/"
